"id","wezwanie","id_wezwanie"
140,Gertruda P,140
141,Gotard Bp,141
142,"Gotard Bp, ZwNMP",142
143,Grzegorz Pp,143
144,Helena,144
145,"Helena Cesarzowa, Antoni O",145
1065,"Helena, Stanisław Kostka",1065
146,Hieronim Bp,146
147,Hieronim DrKła,147
148,Hieronim W,148
149,Hubert,149
150,Idzi O,150
1170,"Idzi O, Mikołaj Bp",1170
151,"Idzi O, Stanisław Bp",151
152,Ignacy,152
153,Ignacy L,153
154,Imię Jezus,154
1150,"Imię Jezus, NMP Niepokalanie Poczęta",1150
1066,"Imię Jezus, Wendelin O",1066
155,Imię NMP,155
1162,"Imię NMP, Bartłomiej Ap",1162
156,Izaak M,156
157,Izydor,157
1088,Izydor Oracz,1088
158,Jacek W,158
159,"Jacek W, Jadwiga Wd, Urban M",159
160,"Jacek W, Sebastian M",160
161,"Jacek W, Wawrzyniec M",161
168,"Jadwiga, Elżbieta WWd",168
162,Jadwiga Królowa Polski,162
163,Jadwiga Wd,163
164,"Jadwiga Wd, Andrzej Ap",164
1146,"Jadwiga Wd, Jakub W Ap",1146
165,"Jadwiga Wd, Małgorzata PM",165
166,"Jadwiga Wd, Mikołaj Bp",166
167,"Jadwiga Wd, RozAp",167
1126,"Jadwiga Wd, Stanisław Bp",1126
169,Jakub Ap,169
170,Jakub Mn Ap,170
1053,Jakub Strepa,1053
190,"Jakub W, Andrzej AAp",190
171,Jakub W Ap,171
172,"Jakub W Ap, Anna",172
173,"Jakub W Ap, Barbara, Katarzyna PPMM",173
174,"Jakub W Ap, Dorota PM",174
175,"Jakub W Ap, Erazm Bp",175
176,"Jakub W Ap, Jadwiga Wd",176
177,"Jakub W Ap, Jan Ew",177
178,"Jakub W Ap, Katarzyna PM",178
179,"Jakub W Ap, Marcin Bp",179
180,"Jakub W Ap, Michał A",180
181,"Jakub W Ap, Mikołaj Bp",181
182,"Jakub W Ap, Stanisław Bp",182
183,"Jakub W Ap, Stanisław Kostka",183
184,"Jakub W Ap, Walenty M",184
186,"Jakub W Ap, Wawrzyniec, Fabian, Sebastian MM, Antoni Eremita, Wszyscy Św",186
185,"Jakub W Ap, Wawrzyniec M, Dorota PM",185
187,"Jakub W Ap, WnNMP",187
188,"Jakub W Ap, Wojciech Bp",188
189,"Jakub W Ap, Zygmunt Kr",189
191,"Jakub W, Bartłomiej AAp",191
192,Jan,192
193,Jan Ante Portam Latinam,193
1054,Jan Ap,1054
194,"Jan Ap, Marcin Bp",194
1121,Jan Ap w Oleju,1121
1102,Jan ApEw,1102
